viikko;Työttömyysturva 2020;Työttömyysturva 2021;Työttömyysturva ero %;Yrittäjien työmarkkinatuki 2020;Yrittäjien työmarkkinatuki 2021;Yrittäjien työmarkkinatuki ero %;Yleinen asumistuki 2020;Yleinen asumistuki 2021;Yleinen asumistuki ero %;Perustoimeentulotuki 2020;Perustoimeentulotuki 2021;Perustoimeentulotuki ero %;Sairauspäiväraha 2020;Sairauspäiväraha 2021;Sairauspäiväraha ero %;Tartuntatautipäiväraha 2020;Tartuntatautipäiväraha 2021;Tartuntatautipäiväraha ero %
1;10555;8041;-23,8;NA;515;NA;12792;16542;29,30000000000001;23088;25539;10,6;10518;9859;-6,3;4;2731;68175
2;7954;8551;7,5;NA;520;NA;16019;15199;-5,09999999999999;26501;33218;25,3;9969;12639;26,8;NA;3272;NA
3;8263;7988;-3,3;NA;495;NA;14846;11070;-25,40000000000001;38989;36967;-5,2;16154;11777;-27,1;3;3210;106900
4;7376;7245;-1,8;NA;540;NA;9825;11959;21,70000000000000;34916;30084;-13,8;14400;11783;-18,2;4;3491;87175
5;8858;7175;-19,0;NA;640;NA;11509;16378;42,30000000000001;28814;25573;-11,2;13739;11121;-19,1;2;3196;159700
6;6853;NA;NA;NA;NA;NA;14706;NA;NA;24459;NA;NA;13017;NA;NA;6;NA;NA
7;5689;NA;NA;NA;NA;NA;12944;NA;NA;28008;NA;NA;14944;NA;NA;1;NA;NA
8;6783;NA;NA;NA;NA;NA;9521;NA;NA;39038;NA;NA;11897;NA;NA;3;NA;NA
9;7514;NA;NA;NA;NA;NA;10345;NA;NA;29740;NA;NA;15328;NA;NA;6;NA;NA
10;6371;NA;NA;NA;NA;NA;13398;NA;NA;24878;NA;NA;13341;NA;NA;15;NA;NA
11;6103;NA;NA;NA;NA;NA;12586;NA;NA;28915;NA;NA;13986;NA;NA;125;NA;NA
12;9234;NA;NA;NA;NA;NA;11261;NA;NA;43014;NA;NA;12245;NA;NA;727;NA;NA
13;16224;NA;NA;NA;NA;NA;13581;NA;NA;32281;NA;NA;13017;NA;NA;546;NA;NA
14;27318;NA;NA;NA;NA;NA;20494;NA;NA;30102;NA;NA;12934;NA;NA;498;NA;NA
15;21931;NA;NA;NA;NA;NA;13067;NA;NA;23663;NA;NA;11168;NA;NA;422;NA;NA
16;19039;NA;NA;8785;NA;NA;14415;NA;NA;36979;NA;NA;12583;NA;NA;572;NA;NA
17;14207;NA;NA;7812;NA;NA;11966;NA;NA;33699;NA;NA;13340;NA;NA;790;NA;NA
18;14949;NA;NA;4253;NA;NA;14913;NA;NA;26270;NA;NA;11276;NA;NA;944;NA;NA
19;11337;NA;NA;3610;NA;NA;16152;NA;NA;29001;NA;NA;12700;NA;NA;1305;NA;NA
20;9532;NA;NA;2857;NA;NA;15517;NA;NA;37635;NA;NA;13509;NA;NA;1326;NA;NA
21;7711;NA;NA;1711;NA;NA;10147;NA;NA;35274;NA;NA;9132;NA;NA;879;NA;NA
22;9490;NA;NA;1380;NA;NA;14300;NA;NA;31597;NA;NA;12482;NA;NA;1146;NA;NA
23;13917;NA;NA;1057;NA;NA;17177;NA;NA;28401;NA;NA;11607;NA;NA;1260;NA;NA
24;11246;NA;NA;643;NA;NA;14640;NA;NA;28081;NA;NA;12452;NA;NA;1154;NA;NA
25;9291;NA;NA;416;NA;NA;9947;NA;NA;32905;NA;NA;9100;NA;NA;723;NA;NA
26;10608;NA;NA;421;NA;NA;10834;NA;NA;32171;NA;NA;11154;NA;NA;641;NA;NA
27;11914;NA;NA;629;NA;NA;19199;NA;NA;29083;NA;NA;11678;NA;NA;724;NA;NA
28;7529;NA;NA;433;NA;NA;16527;NA;NA;26827;NA;NA;10293;NA;NA;432;NA;NA
29;7521;NA;NA;336;NA;NA;17059;NA;NA;32983;NA;NA;9361;NA;NA;360;NA;NA
30;7980;NA;NA;317;NA;NA;12642;NA;NA;30903;NA;NA;8203;NA;NA;315;NA;NA
31;7304;NA;NA;307;NA;NA;15967;NA;NA;25151;NA;NA;8502;NA;NA;296;NA;NA
32;7709;NA;NA;306;NA;NA;22078;NA;NA;23159;NA;NA;7869;NA;NA;177;NA;NA
33;8065;NA;NA;319;NA;NA;21504;NA;NA;27750;NA;NA;10429;NA;NA;250;NA;NA
34;7957;NA;NA;302;NA;NA;14343;NA;NA;35697;NA;NA;9465;NA;NA;304;NA;NA
35;7243;NA;NA;299;NA;NA;14948;NA;NA;28537;NA;NA;10897;NA;NA;445;NA;NA
36;9650;NA;NA;331;NA;NA;22090;NA;NA;26557;NA;NA;12368;NA;NA;487;NA;NA
37;7238;NA;NA;272;NA;NA;14677;NA;NA;24652;NA;NA;12818;NA;NA;575;NA;NA
38;7228;NA;NA;289;NA;NA;12806;NA;NA;34735;NA;NA;12284;NA;NA;522;NA;NA
39;7136;NA;NA;242;NA;NA;10543;NA;NA;31577;NA;NA;11527;NA;NA;609;NA;NA
40;9129;NA;NA;292;NA;NA;16756;NA;NA;28293;NA;NA;11137;NA;NA;698;NA;NA
41;6738;NA;NA;339;NA;NA;13596;NA;NA;25070;NA;NA;13589;NA;NA;1047;NA;NA
42;6598;NA;NA;342;NA;NA;12427;NA;NA;32890;NA;NA;12995;NA;NA;1403;NA;NA
43;6825;NA;NA;305;NA;NA;9678;NA;NA;33638;NA;NA;10878;NA;NA;1343;NA;NA
44;8238;NA;NA;356;NA;NA;11550;NA;NA;29326;NA;NA;12327;NA;NA;1782;NA;NA
45;7594;NA;NA;339;NA;NA;14722;NA;NA;24211;NA;NA;11591;NA;NA;2012;NA;NA
46;6634;NA;NA;319;NA;NA;13010;NA;NA;26825;NA;NA;13662;NA;NA;2499;NA;NA
47;6204;NA;NA;317;NA;NA;9016;NA;NA;33963;NA;NA;12120;NA;NA;2346;NA;NA
48;6087;NA;NA;351;NA;NA;10150;NA;NA;30725;NA;NA;12139;NA;NA;2449;NA;NA
49;8265;NA;NA;516;NA;NA;16810;NA;NA;29916;NA;NA;12442;NA;NA;2428;NA;NA
50;6941;NA;NA;452;NA;NA;12857;NA;NA;29985;NA;NA;14553;NA;NA;3082;NA;NA
51;7153;NA;NA;415;NA;NA;12693;NA;NA;41330;NA;NA;14310;NA;NA;3467;NA;NA
52;7427;NA;NA;242;NA;NA;6662;NA;NA;23303;NA;NA;6871;NA;NA;1826;NA;NA
53;7919;NA;NA;414;NA;NA;13501;NA;NA;25322;NA;NA;10338;NA;NA;2608;NA;NA
