"viikko";"vuosi";"puhelinpalvelun_vastausprosentti"
"1";"2019";"52,5"
"2";"2019";"43,6"
"3";"2019";"53,7"
"4";"2019";"55,2"
"5";"2019";"44,2"
"6";"2019";"43,7"
"7";"2019";"31,2"
"8";"2019";"42,0"
"9";"2019";"25,9"
"10";"2019";"28,2"
"11";"2019";"51,2"
"12";"2019";"60,7"
"13";"2019";"61,6"
"14";"2019";"56,4"
"15";"2019";"72,0"
"16";"2019";"58,0"
"17";"2019";"46,5"
"18";"2019";"35,6"
"19";"2019";"50,4"
"20";"2019";"72,6"
"21";"2019";"81,7"
"22";"2019";"49,9"
"23";"2019";"44,1"
"24";"2019";"55,8"
"25";"2019";"54,5"
"26";"2019";"34,7"
"27";"2019";"39,8"
"28";"2019";"44,5"
"29";"2019";"53,8"
"30";"2019";"71,0"
"31";"2019";"47,5"
"32";"2019";"35,3"
"33";"2019";"47,6"
"34";"2019";"65,1"
"35";"2019";"64,6"
"36";"2019";"57,7"
"37";"2019";"76,3"
"38";"2019";"78,8"
"39";"2019";"63,1"
"40";"2019";"50,1"
"41";"2019";"59,9"
"42";"2019";"56,8"
"43";"2019";"66,6"
"44";"2019";"53,6"
"45";"2019";"50,4"
"46";"2019";"54,5"
"47";"2019";"67,8"
"48";"2019";"65,4"
"49";"2019";"30,6"
"50";"2019";"34,9"
"51";"2019";"37,7"
"52";"2019";"56,8"
"1";"2020";"27,1"
"2";"2020";"19,2"
"3";"2020";"28,1"
"4";"2020";"32,7"
"5";"2020";"27,2"
"6";"2020";"23,4"
"7";"2020";"39,9"
"8";"2020";"39,1"
"9";"2020";"31,9"
"10";"2020";"23,4"
"11";"2020";"42,2"
"12";"2020";"53,9"
"13";"2020";"68,1"
"14";"2020";"85,1"
"15";"2020";"88,2"
"16";"2020";"70,6"
"17";"2020";"92,0"
"18";"2020";"83,9"
"19";"2020";"78,5"
"20";"2020";"90,6"
"21";"2020";"86,3"
"22";"2020";"90,1"
"23";"2020";"91,8"
"24";"2020";"94,6"
"25";"2020";"93,6"
"26";"2020";"92,0"
"27";"2020";"90,9"
"28";"2020";"90,4"
"29";"2020";"92,3"
"30";"2020";"93,4"
"31";"2020";"92,0"
"32";"2020";"88,7"
"33";"2020";"89,9"
"34";"2020";"90,9"
"35";"2020";"91,8"
"36";"2020";"87,7"
"37";"2020";"94,3"
"38";"2020";"94,4"
"39";"2020";"94,3"
"40";"2020";"78,5"
"41";"2020";"81,1"
"42";"2020";"73,5"
"43";"2020";"85,2"
"44";"2020";"82,5"
"45";"2020";"80,0"
"46";"2020";"86,8"
"47";"2020";"80,2"
"48";"2020";"78,5"
"49";"2020";"72,6"
"50";"2020";"76,3"
"51";"2020";"72,6"
"52";"2020";"86,1"
"53";"2020";"78,5"
"1";"2021";"68,7"
"2";"2021";"85,4"
"3";"2021";"72,6"
"4";"2021";"63,2"
"5";"2021";"60,2"
"6";"2021";"66,8"
"7";"2021";"64,2"
"8";"2021";"67,1"
"9";"2021";"54,7"
"10";"2021";"64,5"
"11";"2021";"57,3"
"12";"2021";"61,2"
"13";"2021";"42,9"
"14";"2021";"55,8"
"15";"2021";"63,5"
"16";"2021";"67,7"
"17";"2021";"53,9"
"18";"2021";"63,3"
"19";"2021";"69,9"
"20";"2021";"67,7"
"21";"2021";"61,0"
"22";"2021";"55,1"
"23";"2021";"71,3"
"24";"2021";"66,4"
"25";"2021";"74,9"
"26";"2021";"51,1"
"27";"2021";"52,8"
"28";"2021";"65,9"
"29";"2021";"68,8"
"30";"2021";"55,9"
"31";"2021";"52,7"
"32";"2021";"56,0"
"33";"2021";"58,2"
"34";"2021";"58,4"
"35";"2021";"48,0"
"36";"2021";"63,3"
"37";"2021";"74,5"
"38";"2021";"76,4"
"39";"2021";"58,5"
"40";"2021";"56,6"
"41";"2021";"62,6"
"42";"2021";"55,8"
"43";"2021";"45,7"
"44";"2021";"45,5"
"45";"2021";"50,9"
"46";"2021";"53,6"
"47";"2021";"51,6"
"48";"2021";"38,8"
"49";"2021";"29,3"
"50";"2021";"39,9"
"51";"2021";"63,3"
"52";"2021";"69,0"
"1";"2022";"85,0"
"2";"2022";"86,7"
"3";"2022";"65,6"
"4";"2022";"52,0"
"5";"2022";"53,2"
"6";"2022";"54,3"
"7";"2022";"50,6"
"8";"2022";"59,6"
"9";"2022";"48,2"
"10";"2022";"49,7"
"11";"2022";"48,0"
"12";"2022";"55,1"
"13";"2022";"48,4"
"14";"2022";"59,8"
"15";"2022";"51,3"
"16";"2022";"32,2"
"17";"2022";"38,4"
"18";"2022";"51,1"
"19";"2022";"71,7"
"20";"2022";"73,7"
"21";"2022";"62,8"
"22";"2022";"51,8"
"23";"2022";"64,9"
"24";"2022";"72,1"
"25";"2022";"70,6"
"26";"2022";"57,8"
"27";"2022";"47,9"
"28";"2022";"63,5"
"29";"2022";"71,4"
"30";"2022";"52,7"
"31";"2022";"41,9"
"32";"2022";"64,1"
"33";"2022";"82,5"
"34";"2022";"80,0"
"35";"2022";"75,8"
"36";"2022";"64,8"
"37";"2022";"72,6"
"38";"2022";"75,0"
"39";"2022";"53,2"
"40";"2022";"46,7"
"41";"2022";"57,5"
"42";"2022";"50,9"
"43";"2022";"48,8"
"44";"2022";"47,9"
"45";"2022";"60,8"
"46";"2022";"57,8"
"47";"2022";"61,9"
"48";"2022";"43,8"
"49";"2022";"37,5"
"50";"2022";"46,9"
"51";"2022";"69,1"
"52";"2022";"67,4"
"1";"2023";"86,4"
"2";"2023";"83,2"
"3";"2023";"82,4"
"4";"2023";"76,2"
"5";"2023";"74,9"
"6";"2023";"77,0"
"7";"2023";"70,6"
"8";"2023";"75,2"
"9";"2023";"59,2"
"10";"2023";"68,1"
"11";"2023";"68,7"
"12";"2023";"79,2"
"13";"2023";"71,3"
"14";"2023";"61,5"
"15";"2023";"54,0"
"16";"2023";"71,8"
"17";"2023";"66,2"
"18";"2023";"61,3"
"19";"2023";"83,9"
"20";"2023";"75,6"
"21";"2023";"78,0"
"22";"2023";"71,9"
"23";"2023";"82,4"
"24";"2023";"88,2"
"25";"2023";"87,1"
"26";"2023";"80,2"
"27";"2023";"73,3"
"28";"2023";"89,6"
"29";"2023";"90,9"
"30";"2023";"90,2"
"31";"2023";"80,2"
"32";"2023";"86,0"
"33";"2023";"91,7"
"34";"2023";"93,0"
"35";"2023";"88,9"
"36";"2023";"84,4"
"37";"2023";"88,9"
"38";"2023";"89,0"
"39";"2023";"87,5"
"40";"2023";"77,3"
"41";"2023";"84,5"
"42";"2023";"64,5"
"43";"2023";"84,4"
