"viikko";"Työttömyysturva 2022";"Työttömyysturva 2023";"Työttömyysturva ero %";"Yleinen asumistuki 2022";"Yleinen asumistuki 2023";"Yleinen asumistuki ero %";"Perustoimeentulotuki 2022";"Perustoimeentulotuki 2023";"Perustoimeentulotuki ero %";"Sairauspäiväraha 2022";"Sairauspäiväraha 2023";"Sairauspäiväraha ero %";"Tartuntatautipäiväraha 2022";"Tartuntatautipäiväraha 2023";"Tartuntatautipäiväraha ero %"
"1";"6929";"7916";"14,200000000000003";"17906";"18320";"2,30000000000000";"21793";"22417";"2,900000000000006";"10363";"11246";"8,5000000000000000";"5817";"4518";"-22,3"
"2";"7198";"7096";"-1,400000000000006";"16453";"14799";"-10,09999999999999";"28519";"27646";"-3,099999999999994";"13207";"13298";"0,7000000000000028";"9598";"5306";"-44,7"
"3";"6951";"6375";"-8,299999999999997";"11367";"12870";"13,20000000000000";"33374";"32887";"-1,500000000000000";"12604";"13055";"3,5999999999999943";"11518";"4595";"-60,1"
"4";"7303";"5885";"-19,400000000000006";"11999";"13662";"13,90000000000001";"27291";"27568";"1,000000000000000";"13143";"14055";"6,9000000000000057";"13273";"3435";"-74,1"
"5";"8538";"7706";"-9,700000000000003";"16875";"17687";"4,80000000000000";"24490";"25514";"4,200000000000003";"12591";"14430";"14,5999999999999943";"13537";"2897";"-78,6"
"6";"5825";"6427";"10,299999999999997";"12174";"11898";"-2,30000000000000";"22808";"22079";"-3,200000000000003";"12166";"12809";"5,2999999999999972";"14308";"1763";"-87,7"
"7";"6245";"5998";"-4,000000000000000";"10970";"11193";"2,00000000000000";"32876";"31952";"-2,799999999999997";"13665";"14750";"7,9000000000000057";"16042";"2058";"-87,2"
"8";"6096";"5213";"-14,500000000000000";"10288";"11866";"15,30000000000000";"28254";"29239";"3,500000000000000";"13214";"13834";"4,7000000000000028";"17254";"1650";"-90,4"
"9";"5706";"5942";"4,099999999999994";"14902";"15772";"5,80000000000000";"25412";"27968";"10,099999999999994";"11933";"14601";"22,4000000000000057";"17381";"1405";"-91,9"
"10";"4947";"4929";"-0,400000000000006";"11407";"11734";"2,90000000000001";"23197";"22800";"-1,700000000000003";"12870";"13789";"7,0999999999999943";"19764";"956";"-95,2"
"11";"5519";"5828";"5,599999999999994";"10185";"10865";"6,70000000000000";"32234";"31931";"-0,900000000000006";"12572";"14892";"18,5000000000000000";"21191";"831";"-96,1"
"12";"4803";"4986";"3,799999999999997";"8566";"12112";"41,40000000000001";"29492";"31151";"5,599999999999994";"12437";"12987";"4,4000000000000057";"21372";"811";"-96,2"
"13";"5709";"5659";"-0,900000000000006";"11139";"13731";"23,30000000000000";"25487";"24957";"-2,099999999999994";"13689";"14165";"3,5000000000000000";"23440";"963";"-95,9"
"14";"6249";"7510";"20,200000000000003";"11903";"12647";"6,30000000000000";"21728";"18535";"-14,700000000000003";"11533";"10061";"-12,7999999999999972";"21113";"295";"-98,6"
"15";"7190";"4661";"-35,200000000000003";"12041";"11122";"-7,59999999999999";"23939";"24573";"2,599999999999994";"10749";"11381";"5,9000000000000057";"18005";"577";"-96,8"
"16";"4404";"4871";"10,599999999999994";"8907";"11683";"31,19999999999999";"30369";"32768";"7,900000000000006";"9694";"14408";"48,5999999999999943";"15963";"414";"-97,4"
"17";"4779";"4882";"2,200000000000003";"11869";"12666";"6,70000000000000";"25852";"25032";"-3,200000000000003";"12234";"14353";"17,2999999999999972";"19841";"256";"-98,7"
"18";"5142";"4322";"-15,900000000000006";"15441";"17125";"10,90000000000001";"23433";"22499";"-4,000000000000000";"10976";"10986";"0,0999999999999943";"16072";"268";"-98,3"
"19";"4987";"4411";"-11,599999999999994";"14402";"12877";"-10,59999999999999";"27567";"24746";"-10,200000000000003";"12124";"13672";"12,7999999999999972";"18213";"246";"-98,6"
"20";"5865";"5333";"-9,099999999999994";"10483";"12030";"14,80000000000000";"35044";"32756";"-6,500000000000000";"11529";"10911";"-5,4000000000000057";"14887";"108";"-99,3"
"21";"4351";"4662";"7,099999999999994";"10582";"13290";"25,59999999999999";"25635";"30599";"19,400000000000006";"9818";"12988";"32,3000000000000114";"10983";"131";"-98,8"
"22";"7084";"6222";"-12,200000000000003";"17562";"19802";"12,80000000000000";"26709";"26865";"0,599999999999994";"13309";"13018";"-2,2000000000000028";"13134";"145";"-98,9"
"23";"6433";"6683";"3,900000000000006";"13073";"14707";"12,50000000000000";"22047";"22236";"0,900000000000006";"11717";"12616";"7,7000000000000028";"10907";"73";"-99,3"
"24";"6246";"6041";"-3,299999999999997";"14058";"12568";"-10,59999999999999";"32957";"30225";"-8,299999999999997";"13547";"15192";"12,0999999999999943";"12166";"56";"-99,5"
"25";"5574";"6331";"13,599999999999994";"8396";"10788";"28,50000000000000";"25842";"27776";"7,500000000000000";"8934";"11123";"24,5000000000000000";"8038";"143";"-98,2"
"26";"6198";"5906";"-4,700000000000003";"15114";"18179";"20,30000000000000";"25219";"25317";"0,400000000000006";"11431";"12612";"10,2999999999999972";"10101";"142";"-98,6"
"27";"6154";"5634";"-8,400000000000006";"16210";"18089";"11,59999999999999";"20782";"20890";"0,500000000000000";"10057";"11244";"11,7999999999999972";"9469";"107";"-98,9"
"28";"6182";"5006";"-19,000000000000000";"17658";"14119";"-20,00000000000000";"26484";"24382";"-7,900000000000006";"10202";"11225";"10,0000000000000000";"9926";"112";"-98,9"
"29";"6040";"4965";"-17,799999999999997";"11866";"14461";"21,90000000000001";"28775";"30044";"4,400000000000006";"8957";"9420";"5,2000000000000028";"10566";"82";"-99,2"
"30";"5797";"4665";"-19,500000000000000";"16177";"17020";"5,20000000000000";"22823";"23331";"2,200000000000003";"9873";"8872";"-10,0999999999999943";"11955";"26";"-99,8"
"31";"7526";"5134";"-31,799999999999997";"21426";"22993";"7,30000000000000";"20264";"21900";"8,099999999999994";"9359";"9302";"-0,5999999999999943";"10722";"10";"-99,9"
"32";"6141";"4898";"-20,200000000000003";"18807";"15534";"-17,40000000000001";"21458";"20563";"-4,200000000000003";"10385";"10333";"-0,5000000000000000";"11113";"8";"-99,9"
"33";"6152";"5115";"-16,900000000000006";"15251";"15430";"1,20000000000000";"31594";"31425";"-0,500000000000000";"12397";"10942";"-11,7000000000000028";"10477";"13";"-99,9"
"34";"6275";"5640";"-10,099999999999994";"14557";"15681";"7,70000000000000";"28265";"29804";"5,400000000000006";"11057";"11042";"-0,0999999999999943";"8003";"9";"-99,9"
"35";"7896";"8327";"5,500000000000000";"21452";"20207";"-5,80000000000000";"25312";"25454";"0,599999999999994";"13051";"13697";"4,9000000000000057";"8419";"9";"-99,9"
"36";"6030";"6245";"3,599999999999994";"15563";"16061";"3,20000000000000";"21229";"22303";"5,099999999999994";"11678";"11789";"1,0000000000000000";"6891";"11";"-99,8"
"37";"5964";"5802";"-2,700000000000003";"14624";"12571";"-14,00000000000000";"29476";"28624";"-2,900000000000006";"13697";"14069";"2,7000000000000028";"6933";"5";"-99,9"
"38";"6651";"6133";"-7,799999999999997";"10309";"12628";"22,50000000000000";"30626";"33680";"10,000000000000000";"12203";"13470";"10,4000000000000057";"6340";"8";"-99,9"
"39";"5654";"5978";"5,700000000000003";"13947";"14375";"3,09999999999999";"24588";"26627";"8,299999999999997";"13157";"14522";"10,4000000000000057";"6372";"9";"-99,9"
"40";"5642";"5817";"3,099999999999994";"18939";"15278";"-19,30000000000000";"21593";"22573";"4,500000000000000";"12838";"14524";"13,0999999999999943";"5321";"10";"-99,8"
"41";"5515";"6170";"11,900000000000006";"15766";"11509";"-27,00000000000000";"25202";"24503";"-2,799999999999997";"15408";"14671";"-4,7999999999999972";"6304";"11";"-99,8"
"42";"5540";"5740";"3,599999999999994";"11280";"11018";"-2,30000000000000";"30898";"31830";"3,000000000000000";"13756";"12234";"-11,0999999999999943";"5971";"8";"-99,9"
"43";"4785";"5415";"13,200000000000003";"13657";"12252";"-10,30000000000000";"24709";"27339";"10,599999999999994";"13254";"12913";"-2,5999999999999943";"6783";"3";"-100,0"
"44";"6301";"7318";"16,099999999999994";"16002";"17249";"7,80000000000000";"22664";"24937";"10,000000000000000";"12961";"13219";"2,0000000000000000";"6604";"10";"-99,8"
"45";"5412";NA;NA;"10616";NA;NA;"20957";NA;NA;"13466";NA;NA;"6485";NA;NA
"46";"6211";NA;NA;"10664";NA;NA;"30025";NA;NA;"14207";NA;NA;"7269";NA;NA
"47";"5476";NA;NA;"11684";NA;NA;"27489";NA;NA;"12584";NA;NA;"7244";NA;NA
"48";"5797";NA;NA;"17193";NA;NA;"25952";NA;NA;"16124";NA;NA;"7182";NA;NA
"49";"6361";NA;NA;"11233";NA;NA;"21619";NA;NA;"9019";NA;NA;"4650";NA;NA
"50";"5679";NA;NA;"12227";NA;NA;"33867";NA;NA;"15728";NA;NA;"7916";NA;NA
"51";"8983";NA;NA;"11082";NA;NA;"27980";NA;NA;"13704";NA;NA;"7401";NA;NA
"52";"6085";NA;NA;"15133";NA;NA;"21071";NA;NA;"11051";NA;NA;"6719";NA;NA
